Generated On;Active Power (kW);Reactive Power (kVar);Power Factor
"2020-05-19 08:30:00	";776.153;110.400;0.990
"2020-05-19 08:35:00	";797.581;113.460;0.990
"2020-05-19 08:40:00	";821.119;116.810;0.990
"2020-05-19 08:45:00	";848.585;120.780;0.990
"2020-05-19 08:50:00	";872.574;124.080;0.990
"2020-05-19 08:55:00	";897.055;127.650;0.990
"2020-05-19 09:00:00	";872.070;124.040;0.990
"2020-05-19 09:05:00	";946.891;134.820;0.990
"2020-05-19 09:10:00	";973.787;138.540;0.990
"2020-05-19 09:15:00	";994.851;141.630;0.990
"2020-05-19 09:20:00	";1019.644;145.050;0.990
"2020-05-19 09:25:00	";1041.417;148.150;0.990
"2020-05-19 09:30:00	";1061.505;151.110;0.990
"2020-05-19 09:35:00	";1084.509;154.320;0.990
"2020-05-19 09:40:00	";1104.858;157.230;0.990
"2020-05-19 09:45:00	";1121.741;159.650;0.990
"2020-05-19 09:50:00	";1140.048;162.240;0.990
"2020-05-19 09:55:00	";1161.911;165.380;0.990
"2020-05-19 10:00:00	";1180.509;168.110;0.990
"2020-05-19 10:05:00	";1194.276;169.870;0.990
"2020-05-19 10:10:00	";1218.301;173.350;0.990
"2020-05-19 10:15:00	";1232.150;175.510;0.990
"2020-05-19 10:20:00	";1255.297;178.610;0.990
"2020-05-19 10:25:00	";1272.485;181.180;0.990
"2020-05-19 10:30:00	";1283.500;182.630;0.990
"2020-05-19 10:35:00	";1289.006;183.400;0.990
"2020-05-19 10:40:00	";1301.857;185.360;0.990
"2020-05-19 10:45:00	";1322.470;188.180;0.990
"2020-05-19 10:50:00	";1331.727;189.500;0.990
"2020-05-19 10:55:00	";1339.642;190.660;0.990
"2020-05-19 11:00:00	";1355.158;192.870;0.990
"2020-05-19 11:05:00	";1373.511;195.640;0.990
"2020-05-19 11:10:00	";1374.538;195.660;0.990
"2020-05-19 11:15:00	";1391.177;198.050;0.990
"2020-05-19 11:20:00	";1402.711;199.700;0.990
"2020-05-19 11:25:00	";1409.065;200.480;0.990
"2020-05-19 11:30:00	";1418.010;201.730;0.990
"2020-05-19 11:35:00	";1416.381;201.720;0.990
"2020-05-19 11:40:00	";1424.900;202.850;0.990
"2020-05-19 11:45:00	";1443.475;205.410;0.990
"2020-05-19 11:50:00	";1444.932;205.580;0.990
"2020-05-19 11:55:00	";1459.374;207.860;0.990
"2020-05-19 12:00:00	";1464.268;208.420;0.990
"2020-05-19 12:05:00	";1461.454;208.200;0.990
"2020-05-19 12:10:00	";1470.909;209.430;0.990
"2020-05-19 12:15:00	";1465.808;208.660;0.990
"2020-05-19 12:20:00	";1470.117;209.230;0.990
"2020-05-19 12:25:00	";1470.337;209.320;0.990
"2020-05-19 12:30:00	";1467.877;208.850;0.990
"2020-05-19 12:35:00	";1480.306;210.790;0.990
"2020-05-19 12:40:00	";1480.915;210.840;0.990
"2020-05-19 12:45:00	";1486.521;211.560;0.990
"2020-05-19 12:50:00	";1478.941;210.480;0.990
"2020-05-19 12:55:00	";1484.631;211.290;0.990
"2020-05-19 13:00:00	";1481.715;210.920;0.990
"2020-05-19 13:05:00	";1491.807;212.330;0.990
"2020-05-19 13:10:00	";1503.657;214.090;0.990
"2020-05-19 13:15:00	";1502.297;213.990;0.990
"2020-05-19 13:20:00	";1493.387;212.620;0.990
"2020-05-19 13:25:00	";1495.372;212.860;0.990
"2020-05-19 13:30:00	";1474.316;209.830;0.990
"2020-05-19 13:35:00	";1477.422;210.370;0.990
"2020-05-19 13:40:00	";1466.821;208.710;0.990
